Reference;R;G;B;Opacity;cms;isMoT
0.868999999131;0.2437601425860083;0.36376367958063305;0.7548659016437849;1;false;false
0.869333332464;0.2435266411883799;0.3630020492964629;0.7545523101706453;1;false;false
0.869666665797;0.24329233293796693;0.3622403845464068;0.7542386957104443;1;false;false
0.86999999913;0.24305721677525483;0.3614786842697948;0.7539250582731712;1;false;false
0.870333332463;0.24282129162856192;0.36071694739701005;0.7536113978688513;1;false;false
0.870666665796;0.24258455641394944;0.3599551728493985;0.7532977145075482;1;false;false
0.870999999129;0.2423470100351337;0.35919335953917597;0.7529840081993611;1;false;false
0.871333332462;0.24210865138339865;0.35843150636933463;0.7526702789544268;1;false;false
0.871666665795;0.24186947933749592;0.35766961223355004;0.7523565267829195;1;false;false
0.871999999128;0.24162949276356183;0.3569076760160839;0.75204275169505;1;false;false
0.872333332461;0.24138869051501394;0.3561456965916888;0.7517289537010663;1;false;false
0.872666665794;0.24114707143246195;0.35538367282550865;0.751415132811255;1;false;false
0.872999999127;0.2409046343436071;0.3546216035729808;0.7511012890359395;1;false;false
0.87333333246;0.2406613780631492;0.3538594876797344;0.7507874223854807;1;false;false
0.873666665793;0.2404173013926803;0.35309732398148946;0.7504735328702775;1;false;false
0.873999999126;0.24017240312059068;0.35233511130395356;0.7501596205007668;1;false;false
0.874333332459;0.23992668202196415;0.3515728484627169;0.7498456852874236;1;false;false
0.874666665792;0.23968013685847633;0.3508105342631474;0.7495317272407604;1;false;false
0.874999999125;0.23943276637828875;0.35004816750028306;0.7492177463713287;1;false;false
0.875333332458;0.2391845693159435;0.34928574695872405;0.7489037426897178;1;false;false
0.875666665791;0.2389355443922601;0.3485232714125215;0.7485897162065557;1;false;false
0.875999999124;0.23868569031422016;0.3477607396250685;0.7482756669325088;1;false;false
0.876333332457;0.23843500577486243;0.34699815034898457;0.7479615948782824;1;false;false
0.87666666579;0.2381834894531722;0.34623550232600403;0.74764750005462;1;false;false
0.876999999123;0.23793114001396476;0.3454727942868592;0.7473333824723049;1;false;false
0.877333332456;0.2376779561077741;0.34471002495116265;0.7470192421421585;1;false;false
0.877666665789;0.23742393637073766;0.3439471930272899;0.7467050790750419;1;false;false
0.877999999122;0.23716907942447812;0.34318429721225746;0.7463908932818549;1;false;false
0.878333332455;0.23691338387598415;0.34242133619160287;0.7460766847735375;1;false;false
0.878666665788;0.23665684831749184;0.3416583086392595;0.745762453561068;1;false;false
0.878999999121;0.23639947132636235;0.3408952132174323;0.7454481996554654;1;false;false
0.879333332454;0.23614125146495885;0.34013204857647167;0.7451339230677877;1;false;false
0.879666665787;0.23588218728052096;0.33936881335474317;0.7448196238091326;1;false;false
